Ticker,Market Cap,Date,Close Price,Price change,Volume / Avg,Last max price,Last max volume,Close / SMA50,Close / SMA150,Close / SMA200,SMA50 / SMA150,SMA50 / SMA200,SMA150 / SMA200,Trending up,Beta,Max mov5,Max mov30,VIX,VIX SMA20,Close / SMA10,Sell Date,Holding Duration,Profit,Sell reason
POOL, 11.85B,2018-09-12, 162.09$,  1.23,  1.04,3650,5,  1.09,  1.16,  1.20,  1.07,  1.11,  1.04,  1.03,1.053,  1.23,  3.11, 13.14, 13.17,  1.04,2018-10-24,42,-20.0259%,"Loss, max: 0.60%"
ROL, 25.74B,2018-09-12,  26.05$,  1.32,  1.54,3650,1,  1.12,  1.21,  1.24,  1.08,  1.11,  1.03,  1.03,0.777,  1.32,  2.78, 13.14, 13.17,  1.04,2019-07-31,322,-20.0768%,"Loss, max: 3.99%"
AJG, 87.14B,2019-02-11,  73.53$,  1.35,  0.76,3650,1,  1.08,  1.09,  1.12,  1.01,  1.04,  1.02,  1.01,0.755,  1.35,  3.35, 15.97, 17.73,  1.05,2020-10-09,606,40.3917%,"Gain, min: -12.51%"
CCEP, 39.67B,2019-03-11,  41.16$,  2.44,  1.14,68,13,  1.05,  1.08,  1.12,  1.03,  1.06,  1.03,  1.02,0.791,  2.44,  3.07, 14.33, 15.08,  1.04,2020-03-16,371,-25.0486%,"Loss, max: 21.43%"
ALLE, 11.07B,2019-06-10,  98.43$,  1.35,  0.53,3650,1,  1.08,  1.17,  1.18,  1.08,  1.09,  1.01,  1.02,1.116,  1.35,  3.86, 15.94, 16.83,  1.05,2020-03-20,284,-20.6949%,"Loss, max: 32.59%"
MTD, 24.53B,2019-06-10, 806.79$,  2.01,  0.87,3650,1,  1.10,  1.22,  1.26,  1.11,  1.15,  1.03,  1.03,1.152,  2.34,  3.79, 15.94, 16.83,  1.09,2019-08-23,74,-20.3213%,"Loss, max: 8.14%"
PYPL, 64.45B,2019-06-10, 115.62$,  1.40,  0.95,3650,4,  1.06,  1.20,  1.23,  1.13,  1.16,  1.03,  1.03,1.527,  2.00,  3.96, 15.94, 16.83,  1.05,2020-03-18,282,-20.8960%,"Loss, max: 7.17%"
D, 46.85B,2019-06-24,  61.72$,  1.11,  1.32,3650,1,  1.05,  1.08,  1.10,  1.03,  1.04,  1.01,  1.01,0.584,  1.21,  2.23, 15.26, 16.27,  1.04,2020-03-23,273,-22.4563%,"Loss, max: 16.25%"
FNV, 29.96B,2019-06-24,  82.04$,  3.14,  1.69,3650,2,  1.16,  1.18,  1.22,  1.02,  1.06,  1.04,  1.02,0.655,  3.14,  3.67, 15.26, 16.27,  1.09,2020-02-24,244,40.0293%,"Gain, min: -3.35%"
RGLD, 10.67B,2019-06-24,  94.45$,  1.94,  1.12,3650,1,  1.14,  1.18,  1.21,  1.03,  1.06,  1.03,  1.02,0.647,  1.94,  3.38, 15.26, 16.27,  1.06,2020-03-13,263,-28.4701%,"Loss, max: 37.59%"
